School,Type,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,Wins,Losses,Record,PF,PA,Differential,Latitude,Longitude,Capacity,AvgTemp,TotalRevenue,TicketSales,Contributions,Rights/Licensing,StudentFees,SchoolFunds,OtherIncome,GSR,FGR
Navy,G5,AAC,Ken Niumatalolo,2316000,2316000,0,0,0,0,11,2,0.846,483,290,193,38.9705,-76.5047,34000,68.8,0,0,0,0,,,,83,0
Nebraska,P5,Big Ten,Scott Frost,5000000,5000000,950000,0,4475000,20416667,5,7,0.417,336,333,3,40.8102,-96.6808,85458,63.8,142223226,37095376,6689855,89649040,0,0,2799189,89,69
Nevada,G5,Mt. West,Jay Norvell,500000,500000,210000,25000,1472524,600000,7,6,0.538,277,415,-138,39.5487,-119.8486,26000,68.6,34288266,9683290,6914931,7343904,2780044,11603510,5327725,73,45
Nevada-Las Vegas,G5,Mt. West,Tony Sanchez,600000,602000,260000,0,1642963,650000,4,8,0.333,290,396,-106,36.1005,-115.038,36800,82.2,50568292,4726304,7320082,11814611,3797247,21219601,1906430,63,60
New Mexico,G5,Mt. West,Bob Davie,822690,823740,340000,0,1506115,880604,2,10,0.167,267,446,-179,35.1055,-106.6476,39224,67.8,41936043,5042302,4385068,12770344,3387171,11872955,3374446,62,38
New Mexico State,Ind,Ind.,Doug Martin,422000,422000,220000,10000,862501,1112167,2,10,0.167,260,492,-232,32.3265,-106.7893,30343,76.8,26320230,1571333,2187740,3310228,3363770,14406100,3171630,74,52
North Carolina,P5,ACC,Mack Brown,3500000,3500000,1000000,0,4075000,3093750,7,6,0.538,430,308,122,35.9271,-79.0387,62562,71.8,104571404,23525823,23076537,45390283,7510173,1653201,6656602,70,59
North Carolina State,P5,ACC,Dave Doeren,3250000,3250000,1350000,200000,3795000,6635417,4,8,0.333,265,361,-96,35.8323,-78.6441,57583,71.6,87976532,22632368,15363138,45740947,6847951,4038,2136106,71,54
North Texas,G5,C-USA,Seth Littrell,1865000,1865500,580000,95000,1775000,5062500,4,8,0.333,367,390,-23,33.2165,-97.1411,30850,77,38002376,22632368,15363138,45740947,6847951,4038,2136106,83,61
Northern Illinois,G5,MAC,Thomas Hammock,610000,610000,540000,10000,1030000,1628900,5,7,0.417,274,338,-64,41.9299,-88.7478,23595,60.2,25856400,736122,2321349,4562643,8413478,6549606,5474190,88,67
Northwestern,P5,Big Ten,Pat Fitzgerald,5144937,5144937,0,0,0,0,3,9,0.25,196,283,-87,42.0463,-87.6942,47120,60.2,0,0,0,0,,,,100,93
Notre Dame,Ind,Ind.,Brian Kelly,1665020,1665020,0,0,0,0,11,2,0.846,478,233,245,41.7056,-86.2353,77622,60,0,0,0,0,,,,92,84
Ohio,G5,MAC,Frank Solich,654928,654928,345022,61533,1069963,53918,7,6,0.538,446,345,101,39.3269,-82.0988,24000,65.6,33310037,1123311,3723497,7746702,0,19992428,2177482,86,69
Ohio State,P5,Big Ten,Ryan Day,4500000,4500000,800000,0,7245000,18750000,13,1,0.929,656,192,464,39.9859,-82.9852,104944,63.8,205556663,59847907,29681048,93919737,0,41472,27058075,63,45
Oklahoma,P5,Big 12,Lincoln Riley,6384462,6384462,950000,205000,5835000,21013333,12,2,0.857,590,382,208,35.2335,-97.3471,86112,72,175325500,42947375,45566195,63357274,0,0,11255851,73,53
Oklahoma State,P5,Big 12,Mike Gundy,5125000,5125000,900000,62500,4210000,16632813,8,5,0.615,422,348,74,36.1315,-97.074,60218,72.6,88516367,13911211,24736163,52719360,87640,0,3881108,54,42
Old Dominion,G5,C-USA,Bobby Wilder,661851,661851,505493,0,1138911,900000,1,11,0.083,195,358,-163,36.8945,-76.259,20118,69.4,44271033,3789906,6781492,5326018,28784075,0,2275164,63,48
Oregon,P5,Pac-12,Mario Cristobal,2600000,2600000,2525000,100000,4967000,7035000,12,2,0.857,495,231,264,44.0562,-123.1172,54000,64.4,122541827,24345138,34135608,59854528,0,452924,8720300,77,62
Oregon State,P5,Pac-12,Jonathan Smith,1900008,1900008,1275000,0,3100056,3087513,5,7,0.417,374,390,-16,44.5697,-123.2781,45674,64.8,80712000,10916409,10121214,44863361,2579527,9232198,4345677,70,58
Penn State,P5,Big Ten,James Franklin,5650000,5650000,1000000,200000,693503,16495833,11,2,0.846,465,208,257,40.8148,-77.8653,106572,60,165373214,40968559,31499197,76995842,0,0,15065728,86,70
Pittsburgh,P5,ACC,Pat Narduzzi,3213953,3213953,0,0,0,0,8,5,0.615,275,292,-17,40.4396,-79.9763,68400,63,0,0,0,0,,,,78,47
Purdue,P5,Big Ten,Jeff Brohm,6600000,6600000,1290000,337500,3535000,27650000,4,8,0.333,310,367,-57,40.4432,-86.9239,57236,62.6,103092204,13103564,23676863,67487885,0,0,6576595,80,64
Rice,G5,C-USA,Mike Bloomgren,1500000,0,0,0,0,0,3,9,0.25,215,311,-96,29.7871,-95.3936,47000,79.2,0,0,0,0,,,,87,80
Rutgers,P5,Big Ten,Chris Ash,2300000,2300000,960000,50000,3221042,0,2,10,0.167,159,440,-281,40.4993,-74.399,52454,65.2,100745386,10535678,7303315,37823116,12161591,17697804,17729776,76,55
San Diego State,G5,Mt. West,Rocky Long,878228,879228,720000,150000,1801636,456361,10,3,0.769,276,165,111,32.8312,-117.1225,70561,71.8,55687184,6596027,6673651,10891462,11704147,17517951,1348166,78,74
San Jose State,G5,Mt. West,Brent Brennan,599184,599184,210000,0,1594572,915420,5,7,0.417,361,383,-22,37.302,-121.8488,30456,74,32035899,623166,1831978,6297058,9038711,12473193,2523271,78,71
South Alabama,G5,Sun Belt,Steve Campbell,600000,619000,295000,0,1242200,628333,2,10,0.167,221,368,-147,30.6782,-88.1161,40000,78.2,29040958,762268,1201910,2998859,8891709,15305937,4364589,71,60
South Carolina,P5,SEC,Will Muschamp,4400000,4400000,1400000,175000,5635000,19437500,4,8,0.333,269,313,-44,34.0366,-80.9043,80250,64.8,140084150,28706383,31763030,60250405,0,4657991,15317850,92,64
South Florida,G5,AAC,Charlie Strong,5000000,5000000,815000,30000,2325000,0,4,8,0.333,250,347,-97,27.9937,-82.4454,65857,82.6,45556113,4600251,5153552,11664402,17204934,14828617,1594013,77,65
Southern California,P5,Pac-12,Clay Helton,3218935,3218935,0,0,0,0,8,5,0.615,422,382,40,34.114,-118.4068,93607,74,0,0,0,0,,,,82,62
Southern Methodist,G5,AAC,Sonny Dykes,2200000,0,0,0,0,0,10,3,0.769,544,434,110,32.8506,-96.7937,32000,79.2,0,0,0,0,,,,72,63
Southern Mississippi,G5,C-USA,Jay Hopson,500000,500000,895000,15000,1225000,1083333,7,6,0.538,346,341,5,31.3073,-89.3169,36000,77.2,24248720,2419414,4620463,4838256,8367930,3153688,2287438,72,58
